cik,company,form,date_filed,quarter,year,filename,url,local_path,relative_path,companyid
1001039,WALT DISNEY CO/,10-Q,2014-02-05,1,2014,edgar/data/1001039/0001001039-14-000082.txt,https://www.sec.gov/Archives/edgar/data/1001039/0001001039-14-000082.txt,E:\sec_mda_data\mda_10q_raw\2014\0001001039\0001001039__a5af0f0e7f9e.html,edgar/data/1001039/0001001039-14-000082.txt,191564.0
1001250,ESTEE LAUDER COMPANIES INC,10-Q,2014-02-05,1,2014,edgar/data/1001250/0001104659-14-006766.txt,https://www.sec.gov/Archives/edgar/data/1001250/0001104659-14-006766.txt,E:\sec_mda_data\mda_10q_raw\2014\0001001250\0001001250__e346db2bcab6.html,edgar/data/1001250/0001104659-14-006766.txt,207221.0
1002047,"NetApp, Inc.",10-Q,2014-02-26,1,2014,edgar/data/1002047/0001193125-14-069692.txt,https://www.sec.gov/Archives/edgar/data/1002047/0001193125-14-069692.txt,E:\sec_mda_data\mda_10q_raw\2014\0001002047\0001002047__1a23ec3ff2c5.html,edgar/data/1002047/0001193125-14-069692.txt,32052.0
100493,TYSON FOODS INC,10-Q,2014-01-31,1,2014,edgar/data/100493/0000100493-14-000007.txt,https://www.sec.gov/Archives/edgar/data/100493/0000100493-14-000007.txt,E:\sec_mda_data\mda_10q_raw\2014\0000100493\0000100493__c862bd441d2b.html,edgar/data/100493/0000100493-14-000007.txt,190636.0
1013237,FACTSET RESEARCH SYSTEMS INC,10-Q,2014-01-09,1,2014,edgar/data/1013237/0001437749-14-000407.txt,https://www.sec.gov/Archives/edgar/data/1013237/0001437749-14-000407.txt,E:\sec_mda_data\mda_10q_raw\2014\0001013237\0001013237__1c17a41fd775.html,edgar/data/1013237/0001437749-14-000407.txt,347669.0
1024478,ROCKWELL AUTOMATION INC,10-Q,2014-02-06,1,2014,edgar/data/1024478/0001024478-14-000008.txt,https://www.sec.gov/Archives/edgar/data/1024478/0001024478-14-000008.txt,E:\sec_mda_data\mda_10q_raw\2014\0001024478\0001024478__0ea743d7d5f4.html,edgar/data/1024478/0001024478-14-000008.txt,300504.0
1037038,RALPH LAUREN CORP,10-Q,2014-02-05,1,2014,edgar/data/1037038/0001037038-14-000003.txt,https://www.sec.gov/Archives/edgar/data/1037038/0001037038-14-000003.txt,E:\sec_mda_data\mda_10q_raw\2014\0001037038\0001037038__5a749e5d50b4.html,edgar/data/1037038/0001037038-14-000003.txt,362220.0
104207,WALGREEN CO,10-Q,2014-03-27,1,2014,edgar/data/104207/0000104207-14-000027.txt,https://www.sec.gov/Archives/edgar/data/104207/0000104207-14-000027.txt,E:\sec_mda_data\mda_10q_raw\2014\0000104207\0000104207__7fa66c581e3b.html,edgar/data/104207/0000104207-14-000027.txt,93624.0
1048695,F5 NETWORKS INC,10-Q,2014-02-06,1,2014,edgar/data/1048695/0001445305-14-000250.txt,https://www.sec.gov/Archives/edgar/data/1048695/0001445305-14-000250.txt,E:\sec_mda_data\mda_10q_raw\2014\0001048695\0001048695__6ff01c4ceb3c.html,edgar/data/1048695/0001445305-14-000250.txt,90323.0
106040,WESTERN DIGITAL CORP,10-Q,2014-01-31,1,2014,edgar/data/106040/0000106040-14-000002.txt,https://www.sec.gov/Archives/edgar/data/106040/0000106040-14-000002.txt,E:\sec_mda_data\mda_10q_raw\2014\0000106040\0000106040__41b5869026e3.html,edgar/data/106040/0000106040-14-000002.txt,314057.0
10795,BECTON DICKINSON & CO,10-Q,2014-02-10,1,2014,edgar/data/10795/0001193125-14-042815.txt,https://www.sec.gov/Archives/edgar/data/10795/0001193125-14-042815.txt,E:\sec_mda_data\mda_10q_raw\2014\0000010795\0000010795__4ab51afcc1b0.html,edgar/data/10795/0001193125-14-042815.txt,103678.0
1087423,RED HAT INC,10-Q,2014-01-09,1,2014,edgar/data/1087423/0001193125-14-006446.txt,https://www.sec.gov/Archives/edgar/data/1087423/0001193125-14-006446.txt,E:\sec_mda_data\mda_10q_raw\2014\0001087423\0001087423__74af3d89e2ea.html,edgar/data/1087423/0001193125-14-006446.txt,33679.0
1090872,AGILENT TECHNOLOGIES INC,10-Q,2014-03-05,1,2014,edgar/data/1090872/0001090872-14-000005.txt,https://www.sec.gov/Archives/edgar/data/1090872/0001090872-14-000005.txt,E:\sec_mda_data\mda_10q_raw\2014\0001090872\0001090872__5ee94b2aa002.html,edgar/data/1090872/0001090872-14-000005.txt,154924.0
1110783,MONSANTO CO /NEW/,10-Q,2014-01-08,1,2014,edgar/data/1110783/0001110783-14-000006.txt,https://www.sec.gov/Archives/edgar/data/1110783/0001110783-14-000006.txt,E:\sec_mda_data\mda_10q_raw\2014\0001110783\0001110783__850f47651cbb.html,edgar/data/1110783/0001110783-14-000006.txt,528414.0
1116132,COACH INC,10-Q,2014-02-05,1,2014,edgar/data/1116132/0001144204-14-006197.txt,https://www.sec.gov/Archives/edgar/data/1116132/0001144204-14-006197.txt,E:\sec_mda_data\mda_10q_raw\2014\0001116132\0001116132__ddc26f1f830b.html,edgar/data/1116132/0001144204-14-006197.txt,526573.0
1123360,GLOBAL PAYMENTS INC,10-Q,2014-01-08,1,2014,edgar/data/1123360/0001123360-14-000005.txt,https://www.sec.gov/Archives/edgar/data/1123360/0001123360-14-000005.txt,E:\sec_mda_data\mda_10q_raw\2014\0001123360\0001123360__fc3bf4e0c1b9.html,edgar/data/1123360/0001123360-14-000005.txt,813574.0
1137411,ROCKWELL COLLINS INC,10-Q,2014-01-22,1,2014,edgar/data/1137411/0001137411-14-000026.txt,https://www.sec.gov/Archives/edgar/data/1137411/0001137411-14-000026.txt,E:\sec_mda_data\mda_10q_raw\2014\0001137411\0001137411__82785f1c3bad.html,edgar/data/1137411/0001137411-14-000026.txt,603843.0
1137789,Seagate Technology plc,10-Q,2014-01-28,1,2014,edgar/data/1137789/0001104659-14-004612.txt,https://www.sec.gov/Archives/edgar/data/1137789/0001104659-14-004612.txt,E:\sec_mda_data\mda_10q_raw\2014\0001137789\0001137789__c1c1922aae22.html,edgar/data/1137789/0001104659-14-004612.txt,3738520.0
1140859,AMERISOURCEBERGEN CORP,10-Q,2014-02-07,1,2014,edgar/data/1140859/0001104659-14-007468.txt,https://www.sec.gov/Archives/edgar/data/1140859/0001104659-14-007468.txt,E:\sec_mda_data\mda_10q_raw\2014\0001140859\0001140859__24920cd300f1.html,edgar/data/1140859/0001104659-14-007468.txt,24809.0
1144215,ACUITY BRANDS INC,10-Q,2014-01-09,1,2014,edgar/data/1144215/0001144215-14-000002.txt,https://www.sec.gov/Archives/edgar/data/1144215/0001144215-14-000002.txt,E:\sec_mda_data\mda_10q_raw\2014\0001144215\0001144215__7d8dd0456f68.html,edgar/data/1144215/0001144215-14-000002.txt,1413208.0
1170010,CARMAX INC,10-Q,2014-01-08,1,2014,edgar/data/1170010/0001170010-14-000003.txt,https://www.sec.gov/Archives/edgar/data/1170010/0001170010-14-000003.txt,E:\sec_mda_data\mda_10q_raw\2014\0001170010\0001170010__ccb805c73fe9.html,edgar/data/1170010/0001170010-14-000003.txt,356805.0
1260221,TransDigm Group INC,10-Q,2014-02-05,1,2014,edgar/data/1260221/0001193125-14-036175.txt,https://www.sec.gov/Archives/edgar/data/1260221/0001193125-14-036175.txt,E:\sec_mda_data\mda_10q_raw\2014\0001260221\0001260221__227ac9e1b909.html,edgar/data/1260221/0001193125-14-036175.txt,22800180.0
12659,H&R BLOCK INC,10-Q,2014-03-06,1,2014,edgar/data/12659/0001574842-14-000007.txt,https://www.sec.gov/Archives/edgar/data/12659/0001574842-14-000007.txt,E:\sec_mda_data\mda_10q_raw\2014\0000012659\0000012659__736a3ab7aceb.html,edgar/data/12659/0001574842-14-000007.txt,276601.0
1305014,ASHLAND INC.,10-Q,2014-01-30,1,2014,edgar/data/1305014/0001305014-14-000009.txt,https://www.sec.gov/Archives/edgar/data/1305014/0001305014-14-000009.txt,E:\sec_mda_data\mda_10q_raw\2014\0001305014\0001305014__fc833d2626ce.html,edgar/data/1305014/0001305014-14-000009.txt,252339.0
1308161,"TWENTY-FIRST CENTURY FOX, INC.",10-Q,2014-02-07,1,2014,edgar/data/1308161/0000950123-14-001222.txt,https://www.sec.gov/Archives/edgar/data/1308161/0000950123-14-001222.txt,E:\sec_mda_data\mda_10q_raw\2014\0001308161\0001308161__dc07ab5a5b3d.html,edgar/data/1308161/0000950123-14-001222.txt,91031.0
1327567,Palo Alto Networks Inc,10-Q,2014-02-24,1,2014,edgar/data/1327567/0001327567-14-000005.txt,https://www.sec.gov/Archives/edgar/data/1327567/0001327567-14-000005.txt,E:\sec_mda_data\mda_10q_raw\2014\0001327567\0001327567__932f653daf79.html,edgar/data/1327567/0001327567-14-000005.txt,25460099.0
1339947,Viacom Inc.,10-Q,2014-01-30,1,2014,edgar/data/1339947/0001339947-14-000016.txt,https://www.sec.gov/Archives/edgar/data/1339947/0001339947-14-000016.txt,E:\sec_mda_data\mda_10q_raw\2014\0001339947\0001339947__4383307f3878.html,edgar/data/1339947/0001339947-14-000016.txt,25403751.0
1341439,ORACLE CORP,10-Q,2014-03-20,1,2014,edgar/data/1341439/0001193125-14-108126.txt,https://www.sec.gov/Archives/edgar/data/1341439/0001193125-14-108126.txt,E:\sec_mda_data\mda_10q_raw\2014\0001341439\0001341439__ac0de58e237c.html,edgar/data/1341439/0001193125-14-108126.txt,22247.0
1385157,TE Connectivity Ltd.,10-Q,2014-01-23,1,2014,edgar/data/1385157/0001047469-14-000305.txt,https://www.sec.gov/Archives/edgar/data/1385157/0001047469-14-000305.txt,E:\sec_mda_data\mda_10q_raw\2014\0001385157\0001385157__902e81911fd3.html,edgar/data/1385157/0001047469-14-000305.txt,8106523.0
1385187,Covidien plc,10-Q,2014-02-04,1,2014,edgar/data/1385187/0001385187-14-000007.txt,https://www.sec.gov/Archives/edgar/data/1385187/0001385187-14-000007.txt,E:\sec_mda_data\mda_10q_raw\2014\0001385187\0001385187__10eb5799b614.html,edgar/data/1385187/0001385187-14-000007.txt,31232183.0
1403161,VISA INC.,10-Q,2014-01-30,1,2014,edgar/data/1403161/0001403161-14-000005.txt,https://www.sec.gov/Archives/edgar/data/1403161/0001403161-14-000005.txt,E:\sec_mda_data\mda_10q_raw\2014\0001403161\0001403161__838e5e07b808.html,edgar/data/1403161/0001403161-14-000005.txt,38043467.0
1441634,Avago Technologies LTD,10-Q,2014-03-13,1,2014,edgar/data/1441634/0001441634-14-000018.txt,https://www.sec.gov/Archives/edgar/data/1441634/0001441634-14-000018.txt,E:\sec_mda_data\mda_10q_raw\2014\0001441634\0001441634__55f26afb8d62.html,edgar/data/1441634/0001441634-14-000018.txt,25016048.0
1457543,CAREFUSION Corp,10-Q,2014-02-06,1,2014,edgar/data/1457543/0001502823-14-000007.txt,https://www.sec.gov/Archives/edgar/data/1457543/0001502823-14-000007.txt,E:\sec_mda_data\mda_10q_raw\2014\0001457543\0001457543__78954df0dcca.html,edgar/data/1457543/0001502823-14-000007.txt,49276069.0
1467373,Accenture plc,10-Q,2014-03-27,1,2014,edgar/data/1467373/0001467373-14-000163.txt,https://www.sec.gov/Archives/edgar/data/1467373/0001467373-14-000163.txt,E:\sec_mda_data\mda_10q_raw\2014\0001467373\0001467373__084692d45227.html,edgar/data/1467373/0001467373-14-000163.txt,972190.0
1530721,Michael Kors Holdings Ltd,10-Q,2014-02-06,1,2014,edgar/data/1530721/0001193125-14-038962.txt,https://www.sec.gov/Archives/edgar/data/1530721/0001193125-14-038962.txt,E:\sec_mda_data\mda_10q_raw\2014\0001530721\0001530721__8f2c3a28a7a5.html,edgar/data/1530721/0001193125-14-038962.txt,143971118.0
1546640,ADT Corp,10-Q,2014-01-30,1,2014,edgar/data/1546640/0001546640-14-000005.txt,https://www.sec.gov/Archives/edgar/data/1546640/0001546640-14-000005.txt,E:\sec_mda_data\mda_10q_raw\2014\0001546640\0001546640__e8568180da5c.html,edgar/data/1546640/0001546640-14-000005.txt,184157327.0
1564708,NEWS CORP,10-Q,2014-02-07,1,2014,edgar/data/1564708/0001193125-14-039756.txt,https://www.sec.gov/Archives/edgar/data/1564708/0001193125-14-039756.txt,E:\sec_mda_data\mda_10q_raw\2014\0001564708\0001564708__aaacb55cfe72.html,edgar/data/1564708/0001193125-14-039756.txt,212741644.0
1567892,Mallinckrodt plc,10-Q,2014-02-07,1,2014,edgar/data/1567892/0001567892-14-000005.txt,https://www.sec.gov/Archives/edgar/data/1567892/0001567892-14-000005.txt,E:\sec_mda_data\mda_10q_raw\2014\0001567892\0001567892__b29962467611.html,edgar/data/1567892/0001567892-14-000005.txt,232036063.0
1585364,PERRIGO Co plc,10-Q,2014-02-06,1,2014,edgar/data/1585364/0001585364-14-000004.txt,https://www.sec.gov/Archives/edgar/data/1585364/0001585364-14-000004.txt,E:\sec_mda_data\mda_10q_raw\2014\0001585364\0001585364__bd891de460f3.html,edgar/data/1585364/0001585364-14-000004.txt,319092.0
16732,CAMPBELL SOUP CO,10-Q,2014-03-06,1,2014,edgar/data/16732/0000016732-14-000008.txt,https://www.sec.gov/Archives/edgar/data/16732/0000016732-14-000008.txt,E:\sec_mda_data\mda_10q_raw\2014\0000016732\0000016732__ccddc7b69935.html,edgar/data/16732/0000016732-14-000008.txt,258458.0
16918,"CONSTELLATION BRANDS, INC.",10-Q,2014-01-09,1,2014,edgar/data/16918/0000016918-14-000006.txt,https://www.sec.gov/Archives/edgar/data/16918/0000016918-14-000006.txt,E:\sec_mda_data\mda_10q_raw\2014\0000016918\0000016918__68934d55d328.html,edgar/data/16918/0000016918-14-000006.txt,258589.0
