cik,company,form,date_filed,quarter,year,filename,url,local_path,relative_path,companyid
1001039,WALT DISNEY CO/,10-Q,2012-02-07,1,2012,edgar/data/1001039/0001193125-12-043966.txt,https://www.sec.gov/Archives/edgar/data/1001039/0001193125-12-043966.txt,data_edgar\raw\2012\edgar\data\1001039\0001193125-12-043966.txt,edgar/data/1001039/0001193125-12-043966.txt,191564
1001250,ESTEE LAUDER COMPANIES INC,10-Q,2012-02-06,1,2012,edgar/data/1001250/0001104659-12-006720.txt,https://www.sec.gov/Archives/edgar/data/1001250/0001104659-12-006720.txt,data_edgar\raw\2012\edgar\data\1001250\0001104659-12-006720.txt,edgar/data/1001250/0001104659-12-006720.txt,207221
1002047,"NetApp, Inc.",10-Q,2012-03-05,1,2012,edgar/data/1002047/0001193125-12-096831.txt,https://www.sec.gov/Archives/edgar/data/1002047/0001193125-12-096831.txt,data_edgar\raw\2012\edgar\data\1002047\0001193125-12-096831.txt,edgar/data/1002047/0001193125-12-096831.txt,32052
100493,TYSON FOODS INC,10-Q,2012-02-03,1,2012,edgar/data/100493/0001193125-12-037815.txt,https://www.sec.gov/Archives/edgar/data/100493/0001193125-12-037815.txt,data_edgar\raw\2012\edgar\data\100493\0001193125-12-037815.txt,edgar/data/100493/0001193125-12-037815.txt,190636
1013237,FACTSET RESEARCH SYSTEMS INC,10-Q,2012-01-09,1,2012,edgar/data/1013237/0001437749-12-000310.txt,https://www.sec.gov/Archives/edgar/data/1013237/0001437749-12-000310.txt,data_edgar\raw\2012\edgar\data\1013237\0001437749-12-000310.txt,edgar/data/1013237/0001437749-12-000310.txt,347669
1024478,ROCKWELL AUTOMATION INC,10-Q,2012-02-08,1,2012,edgar/data/1024478/0001193125-12-045687.txt,https://www.sec.gov/Archives/edgar/data/1024478/0001193125-12-045687.txt,data_edgar\raw\2012\edgar\data\1024478\0001193125-12-045687.txt,edgar/data/1024478/0001193125-12-045687.txt,300504
1037038,RALPH LAUREN CORP,10-Q,2012-02-08,1,2012,edgar/data/1037038/0001193125-12-046897.txt,https://www.sec.gov/Archives/edgar/data/1037038/0001193125-12-046897.txt,data_edgar\raw\2012\edgar\data\1037038\0001193125-12-046897.txt,edgar/data/1037038/0001193125-12-046897.txt,362220
104207,WALGREEN CO,10-Q/A,2012-03-29,1,2012,edgar/data/104207/0000104207-12-000024.txt,https://www.sec.gov/Archives/edgar/data/104207/0000104207-12-000024.txt,data_edgar\raw\2012\edgar\data\104207\0000104207-12-000024.txt,edgar/data/104207/0000104207-12-000024.txt,93624
104207,WALGREEN CO,10-Q,2012-03-28,1,2012,edgar/data/104207/0000104207-12-000021.txt,https://www.sec.gov/Archives/edgar/data/104207/0000104207-12-000021.txt,data_edgar\raw\2012\edgar\data\104207\0000104207-12-000021.txt,edgar/data/104207/0000104207-12-000021.txt,93624
1048695,F5 NETWORKS INC,10-Q,2012-02-03,1,2012,edgar/data/1048695/0001193125-12-038451.txt,https://www.sec.gov/Archives/edgar/data/1048695/0001193125-12-038451.txt,data_edgar\raw\2012\edgar\data\1048695\0001193125-12-038451.txt,edgar/data/1048695/0001193125-12-038451.txt,90323
