cik,company,form,date_filed,quarter,year,filename,url,local_path,relative_path,companyid
1001039,WALT DISNEY CO/,10-Q,2013-02-05,1,2013,edgar/data/1001039/0001001039-13-000019.txt,https://www.sec.gov/Archives/edgar/data/1001039/0001001039-13-000019.txt,data_edgar\raw\2013\edgar\data\1001039\0001001039-13-000019.txt,edgar/data/1001039/0001001039-13-000019.txt,191564.0
1001250,ESTEE LAUDER COMPANIES INC,10-Q,2013-02-06,1,2013,edgar/data/1001250/0001104659-13-007939.txt,https://www.sec.gov/Archives/edgar/data/1001250/0001104659-13-007939.txt,data_edgar\raw\2013\edgar\data\1001250\0001104659-13-007939.txt,edgar/data/1001250/0001104659-13-007939.txt,207221.0
1002047,"NetApp, Inc.",10-Q,2013-02-28,1,2013,edgar/data/1002047/0001193125-13-084667.txt,https://www.sec.gov/Archives/edgar/data/1002047/0001193125-13-084667.txt,data_edgar\raw\2013\edgar\data\1002047\0001193125-13-084667.txt,edgar/data/1002047/0001193125-13-084667.txt,32052.0
100493,TYSON FOODS INC,10-Q,2013-02-01,1,2013,edgar/data/100493/0000100493-13-000009.txt,https://www.sec.gov/Archives/edgar/data/100493/0000100493-13-000009.txt,data_edgar\raw\2013\edgar\data\100493\0000100493-13-000009.txt,edgar/data/100493/0000100493-13-000009.txt,190636.0
1024478,ROCKWELL AUTOMATION INC,10-Q,2013-02-06,1,2013,edgar/data/1024478/0001024478-13-000009.txt,https://www.sec.gov/Archives/edgar/data/1024478/0001024478-13-000009.txt,data_edgar\raw\2013\edgar\data\1024478\0001024478-13-000009.txt,edgar/data/1024478/0001024478-13-000009.txt,300504.0
1037038,RALPH LAUREN CORP,10-Q,2013-02-06,1,2013,edgar/data/1037038/0001037038-13-000005.txt,https://www.sec.gov/Archives/edgar/data/1037038/0001037038-13-000005.txt,data_edgar\raw\2013\edgar\data\1037038\0001037038-13-000005.txt,edgar/data/1037038/0001037038-13-000005.txt,362220.0
104207,WALGREEN CO,10-Q,2013-03-25,1,2013,edgar/data/104207/0000104207-13-000031.txt,https://www.sec.gov/Archives/edgar/data/104207/0000104207-13-000031.txt,data_edgar\raw\2013\edgar\data\104207\0000104207-13-000031.txt,edgar/data/104207/0000104207-13-000031.txt,93624.0
1048695,F5 NETWORKS INC,10-Q,2013-02-07,1,2013,edgar/data/1048695/0001193125-13-043080.txt,https://www.sec.gov/Archives/edgar/data/1048695/0001193125-13-043080.txt,data_edgar\raw\2013\edgar\data\1048695\0001193125-13-043080.txt,edgar/data/1048695/0001193125-13-043080.txt,90323.0
106040,WESTERN DIGITAL CORP,10-Q,2013-02-01,1,2013,edgar/data/106040/0001193125-13-034574.txt,https://www.sec.gov/Archives/edgar/data/106040/0001193125-13-034574.txt,data_edgar\raw\2013\edgar\data\106040\0001193125-13-034574.txt,edgar/data/106040/0001193125-13-034574.txt,314057.0
10795,BECTON DICKINSON & CO,10-Q,2013-02-07,1,2013,edgar/data/10795/0001193125-13-043243.txt,https://www.sec.gov/Archives/edgar/data/10795/0001193125-13-043243.txt,data_edgar\raw\2013\edgar\data\10795\0001193125-13-043243.txt,edgar/data/10795/0001193125-13-043243.txt,103678.0
